Term,Count,Score,Thematic Categories,Primary Category,Aliases
Gnosticism,319,4,Neoplatonism / Gnosticism,Top Term,
Plotinus,239,4,Neoplatonism / Gnosticism,Top Term,Neoplatonism
Jakob Boehme,109,4,Christian Theosophy,Top Term,"Boehme, Bohme"
Valis,3934,2,PKD Visionary,Top Term,
Thomas,1481,2,Identity / Persona,Top Term,
Zebra,999,2,PKD Visionary,Top Term,
Sophia,692,2,Christian Theosophy,Top Term,
Gnostic,541,2,Neoplatonism / Gnosticism,Top Term,Gnostics
Time,178,2,Time Metaphysics,Top Term,
Hermetic,124,2,Hermeticism / Magic,Top Term,Hermetics
St Sophia,117,2,Christian Theosophy,Top Term,
Firebright,116,2,PKD Visionary,Top Term,
Philo,109,2,Identity / Persona,Top Term,
Zebrapedia,108,2,PKD Visionary,Top Term,
Hegel,83,2,German Idealism,Top Term,
Hagia Sophia,76,2,Christian Theosophy,Top Term,
Philip,69,2,Identity / Persona,Top Term,
Anamnesis,61,2,Time Metaphysics,Top Term,
Phil,50,2,Identity / Persona,Top Term,
Kant,46,2,German Idealism,Top Term,
Santa Sophia,40,2,Christian Theosophy,Top Term,
Hegelian,34,2,German Idealism,Top Term,
Information,30,2,Information Metaphysics,Top Term,
Dialectic,27,2,German Idealism,Top Term,
Hermes,25,2,Hermeticism / Magic,Top Term,
Pleroma,24,2,Christian Theosophy,Top Term,
Phil Dick,23,2,Identity / Persona,Top Term,
Kantian,21,2,German Idealism,Top Term,
Saint Sophia,16,2,Christian Theosophy,Top Term,
Linear,16,2,Time Metaphysics,Top Term,
Yaldabaoth,16,2,Neoplatonism / Gnosticism,Top Term,
Decoded,15,2,Information Metaphysics,Top Term,
Entropy,11,2,Information Metaphysics,Top Term,
Christ,4853,0,,Top Term,Christs
Tears,2029,0,,Top Term,
Acts,1801,0,,Top Term,
Christian,1745,0,,Top Term,"Christians, Xtian, Xtians"
Ubik,1527,0,,Top Term,
Toso,1495,0,,Top Term,
Indexed,1140,0,,Top Term,
Spirit,1097,0,,Top Term,
Holy,1082,0,,Top Term,
Logos,927,0,,Top Term,
Jesus,926,0,,Top Term,
Complete,851,0,,Top Term,
Xerox,815,0,,Top Term,
Rome,780,0,,Top Term,
Christianity,746,0,,Top Term,Xtianity
Holy Spirit,713,0,,Top Term,
Form,707,0,,Top Term,Forms
Plato,661,0,,Top Term,
Kingdom,581,0,,Top Term,
King,502,0,,Top Term,
Torah,475,0,,Top Term,
Brahman,408,0,,Top Term,
Paul,400,0,,Top Term,
Fish,372,0,,Top Term,
Felix,355,0,,Top Term,
Greek,354,0,,Top Term,Greeks
Ditheon,346,0,,Top Term,Ditheons
Satan,343,0,,Top Term,
Well,342,0,,Top Term,
Empire,335,0,,Top Term,
Bible,326,0,,Top Term,
Parousia,317,0,,Top Term,
Golden,303,0,,Top Term,
Roman,295,0,,Top Term,Romans
However,293,0,,Top Term,
Spinoza,293,0,,Top Term,
Maze,279,0,,Top Term,
Wisdom,274,0,,Top Term,
Dionysos,273,0,,Top Term,
Lord,267,0,,Top Term,
These,263,0,,Top Term,
Perhaps,259,0,,Top Term,
Advent,259,0,,Top Term,
Godhead,257,0,,Top Term,
Elijah,233,0,,Top Term,
Father,229,0,,Top Term,Fathers
Tagore,226,0,,Top Term,
Maybe,225,0,,Top Term,
James,211,0,,Top Term,
Scanner,210,0,,Top Term,
Like,207,0,,Top Term,
World,200,0,,Top Term,
Parmenides,200,0,,Top Term,
Since,197,0,,Top Term,
Gnosis,197,0,,Top Term,
Fall,196,0,,Top Term,
Because,195,0,,Top Term,
Therefore,194,0,,Top Term,
Malebranche,194,0,,Top Term,
Golden Fish,190,0,,Top Term,
Iron,190,0,,Top Term,
Prison,183,0,,Top Term,
Only,182,0,,Top Term,
John,180,0,,Top Term,
Earth,178,0,,Top Term,
Nixon,170,0,,Top Term,
Platonist,170,0,,Top Term,
Harpax,168,0,,Top Term,
After,163,0,,Top Term,
Noos,163,0,,Top Term,
Black,163,0,,Top Term,
Cosmic,162,0,,Top Term,
Pigspurt,162,0,,Top Term,
Gabriel,159,0,,Top Term,
Folder,159,0,,Top Term,
Paraclete,157,0,,Top Term,
Mckee,155,0,,Top Term,
Gabriel Mckee,154,0,,Top Term,
Faith,152,0,,Top Term,
Stigmata,151,0,,Top Term,
Garden,148,0,,Top Term,
Buddha,144,0,,Top Term,
Pythagoras,140,0,,Top Term,
Savior,139,0,,Top Term,
Platonism,138,0,,Top Term,
Holy Wisdom,131,0,,Top Term,
Urgrund,131,0,,Top Term,
Good,129,0,,Top Term,
Mind,125,0,,Top Term,
Buckman,124,0,,Top Term,
Book,124,0,,Top Term,Books
Cosmic Christ,123,0,,Top Term,
Light,123,0,,Top Term,
Even,122,0,,Top Term,
Karma,122,0,,Top Term,
Judaism,121,0,,Top Term,
Gestalt,121,0,,Top Term,Gestalts
Gospel,119,0,,Top Term,Gospels
Yang,117,0,,Top Term,
Okay,115,0,,Top Term,
Could,115,0,,Top Term,
Joint,115,0,,Top Term,
King Felix,114,0,,Top Term,
Taverner,113,0,,Top Term,
Does,112,0,,Top Term,
Bardo,111,0,,Top Term,
Pinky,110,0,,Top Term,
Anyhow,109,0,,Top Term,
Hebrew,109,0,,Top Term,Hebrews
Just,106,0,,Top Term,
Soviet,106,0,,Top Term,Soviets
Something,105,0,,Top Term,
Thodol,105,0,,Top Term,
Look,102,0,,Top Term,
Once,102,0,,Top Term,
Simon,102,0,,Top Term,
Adam,102,0,,Top Term,
Taoism,100,0,,Top Term,
Kerygma,100,0,,Top Term,
Realm,99,0,,Top Term,
Again,98,0,,Top Term,
Shiva,98,0,,Top Term,
Kingdom of God,97,0,,Tradition/Theology,
Suppose,96,0,,Top Term,
Heidegger,96,0,,Top Term,
Bardo Thodol,95,0,,Top Term,
Both,93,0,,Top Term,
Maya,92,0,,Top Term,
Diagram,92,0,,Top Term,
Reality,91,0,,Top Term,
Luke,91,0,,Top Term,
Kosmos,91,0,,Top Term,
Heraclitus,90,0,,Top Term,
Sankara,90,0,,Top Term,
Zagreus,89,0,,Top Term,
Teilhard,89,0,,Top Term,
Being,88,0,,Top Term,
March,87,0,,Top Term,
Diana,87,0,,Top Term,
Catholic,85,0,,Top Term,
Empedocles,84,0,,Top Term,
Obviously,83,0,,Top Term,
Christi,83,0,,Top Term,
Hagia,83,0,,Top Term,
Tony,82,0,,Top Term,
Nous,81,0,,Top Term,
