SegmentID,Name,Type,Value,StartLine,EndLine,Length
SEG_0000,Book was,Book,was,2972,6997,4025
SEG_0001,Folder 32,Folder,32,6998,7005,7
SEG_0003,Folder 32,Folder,32,7008,7013,5
SEG_0005,Folder 32,Folder,32,7016,7019,3
SEG_0007,Folder 32,Folder,32,7022,7025,3
SEG_0009,Folder 32,Folder,32,7028,7038,10
SEG_0010,Folder 32,Folder,32,7039,7050,11
SEG_0012,Folder 32,Folder,32,7053,7060,7
SEG_0014,Folder 32,Folder,32,7063,7070,7
SEG_0016,Folder 32,Folder,32,7073,7086,13
SEG_0018,Folder 32,Folder,32,7089,7095,6
SEG_0019,Folder 32,Folder,32,7096,7106,10
SEG_0020,Folder 32,Folder,32,7107,8395,1288
SEG_0021,Part 1,Part,1,8396,8431,35
SEG_0023,Part 2,Part,2,8434,13808,5374
SEG_0024,Folder 02,Folder,02,13809,13820,11
SEG_0026,Folder 02,Folder,02,13823,13826,3
SEG_0028,Folder 02,Folder,02,13829,13836,7
SEG_0030,Folder 02,Folder,02,13839,13842,3
SEG_0033,Folder 02,Folder,02,13848,13851,3
SEG_0035,Folder 02,Folder,02,13854,13859,5
SEG_0037,Folder 02,Folder,02,13862,13865,3
SEG_0039,Folder 02,Folder,02,13868,13871,3
SEG_0042,Folder 02,Folder,02,13877,13880,3
SEG_0044,Folder 02,Folder,02,13883,13886,3
SEG_0046,Folder 02,Folder,02,13889,13894,5
SEG_0048,Folder 02,Folder,02,13897,13900,3
SEG_0051,Folder 02,Folder,02,13906,13909,3
SEG_0053,Folder 02,Folder,02,13912,13915,3
SEG_0055,Folder 02,Folder,02,13918,13921,3
SEG_0057,Folder 02,Folder,02,13924,13927,3
SEG_0060,Folder 02,Folder,02,13933,13936,3
SEG_0062,Folder 02,Folder,02,13939,13942,3
SEG_0064,Folder 02,Folder,02,13945,13948,3
SEG_0066,Folder 02,Folder,02,13951,13954,3
SEG_0068,Folder 02,Folder,02,13957,13965,8
SEG_0069,Folder 02,Folder,02,13966,13969,3
SEG_0071,Folder 02,Folder,02,13972,13975,3
SEG_0073,Folder 02,Folder,02,13978,13981,3
SEG_0075,Folder 02,Folder,02,13984,13987,3
SEG_0077,Folder 02,Folder,02,13990,13994,4
SEG_0078,Folder 02,Folder,02,13995,13998,3
SEG_0080,Folder 02,Folder,02,14001,14004,3
SEG_0082,Folder 02,Folder,02,14007,14010,3
SEG_0084,Folder 02,Folder,02,14013,14016,3
SEG_0086,Folder 02,Folder,02,14019,14023,4
SEG_0087,Folder 02,Folder,02,14024,14027,3
SEG_0089,Folder 02,Folder,02,14030,14033,3
SEG_0091,Folder 02,Folder,02,14036,14039,3
